complaint_id,date,source,region,latitude,longitude,category,subcategory,description,resource_availability
C000001,2025-02-19,dept_safety,Nagpur,17.676246,73.302168,Disaster Management,,Report: Disaster Management problem reported near area market. citizen notes delays.,0.17
C000002,2025-07-31,dept_infrastructure,Amravati,17.513926,73.13841,Water Supply,,Report: Water Supply problem reported near area station. citizen notes delays.,0.89
C000003,2024-11-13,dept_health,Kolhapur,17.320401,73.789429,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.61
C000004,2024-10-19,dept_infrastructure,Mumbai,17.58041,73.204808,Drainage,,Report: Drainage problem reported near area school. citizen notes delays.,0.35
C000005,2024-06-18,dept_health,Aurangabad,17.343271,73.534237,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.7
C000006,2024-10-14,dept_health,Mumbai,17.911243,73.902111,Sanitation,,Report: Sanitation problem reported near area hospital. citizen notes delays.,0.34
C000007,2024-06-30,dept_health,Nagpur,17.283504,73.998366,Healthcare,,Report: Healthcare problem reported near area hospital. citizen notes delays.,0.42
C000008,2024-06-06,dept_infrastructure,Akola,17.250354,73.189793,Water Supply,,Report: Water Supply problem reported near area market. citizen notes delays.,0.99
C000009,2024-10-11,dept_health,Nagpur,17.750364,73.720057,Vector Control,,Report: Vector Control problem reported near area hospital. citizen notes delays.,0.87
C000010,2024-01-03,dept_safety,Mumbai,17.006702,73.288799,Disaster Management,,Resident reports issue. Contact: 9633403528. Needs urgent fix.,0.04
C000011,2025-05-09,dept_safety,Pune,17.334326,73.609305,Fire,,Report: Fire problem reported near area school. citizen notes delays.,0.46
C000012,2024-03-08,dept_health,Pune,17.394268,73.585961,Healthcare,,Report: Healthcare problem reported near area hospital. citizen notes delays.,0.76
C000013,2025-08-23,dept_health,Amravati,17.889769,73.188295,Healthcare,,Report: Healthcare problem reported near area school. citizen notes delays.,0.28
C000014,2024-04-29,dept_health,Amravati,17.079031,73.322046,Sanitation,,Report: Sanitation problem reported near area station. citizen notes delays.,0.24
C000015,2024-10-18,dept_safety,Akola,17.65983,73.869929,Public Safety,,Report: Public Safety problem reported near area market. citizen notes delays.,0.62
C000016,2024-11-15,dept_safety,Nagpur,17.003095,73.630266,Public Safety,,Report: Public Safety problem reported near area market. citizen notes delays.,0.16
C000017,2025-04-27,dept_health,Nagpur,17.893985,73.823862,Vector Control,,Report: Vector Control problem reported near area school. citizen notes delays.,0.86
